country.x,dataset_key.x,dataset_party_id.x,name_short.x,name.x,name_english.x,year_first.x,year_last.x,share.x,share_year.x,description.x,comment.x,created.x,modified.x,external_id.x,partyfacts_id,linked.x,country.y,dataset_key.y,dataset_party_id.y,name_short.y,name.y,name_english.y,year_first.y,year_last.y,share.y,share_year.y,description.y,comment.y,created.y,modified.y,external_id.y,linked.y
ALB,manifesto,75721,DBSH,E Djatha e Bashkuar e Shqipërisë,United Albanian Right,1996,1997,5,1996,NA,NA,2013-01-01T18:18:05Z,2023-06-05T10:39:57Z,1914,674,2013-01-01T18:33:17Z,ALB,dpi,11,NF,NA,National Front,1997,2001,5,1996,NA,NA,2018-07-11T13:15:33Z,2021-03-12T10:14:51Z,24616,2018-07-11T13:15:33Z
ALB,manifesto,75624,PD,Partia Demokratike e Shqipërisë,Democratic Party of Albania,1991,1997,62.1,1992,NA,NA,2013-01-01T18:16:44Z,2023-06-05T10:39:47Z,1533,190,2014-02-09T13:21:50Z,ALB,dpi,14,PD,NA,Democratic Party of Albania,2002,2009,5.1,2001,NA,NA,2018-07-11T13:15:32Z,2021-03-12T10:14:51Z,24611,2018-07-11T13:15:32Z
ALB,manifesto,75624,PD,Partia Demokratike e Shqipërisë,Democratic Party of Albania,1991,1997,62.1,1992,NA,NA,2013-01-01T18:16:44Z,2023-06-05T10:39:47Z,1533,190,2014-02-09T13:21:50Z,ALB,dpi,16,PDS,NA,Social Democracy Party of Albania,1992,2015,62.3,1992,NA,NA,2018-07-11T13:15:28Z,2021-03-12T10:14:51Z,24569,2018-09-17T20:09:50Z
ALB,manifesto,75722,PRSH,Partia Republikane Shqiptare,Albanian Republican Party,1991,1997,5.7,1996,NA,NA,2013-01-01T18:17:52Z,2023-06-05T10:39:55Z,1853,819,2013-01-01T18:33:18Z,ALB,dpi,17,PRS,NA,NA,1993,2015,7.9,2005,NA,NA,2018-07-11T13:15:27Z,2021-03-12T10:14:51Z,24560,2018-07-11T13:15:27Z
ALB,manifesto,75320,PSD,Partia Socialdemokrate ë Shqipërisë,Social Democratic Party of Albania,1991,2001,4.4,1992,NA,NA,2013-01-01T18:17:09Z,2023-06-05T10:39:40Z,1649,838,2014-06-27T20:20:26Z,ALB,dpi,18,PSDS,NA,NA,1993,2009,5,2005,NA,NA,2018-07-11T13:15:29Z,2021-03-12T10:14:51Z,24579,2018-07-16T17:51:18Z
ALB,manifesto,75220,PSS,Partia Socialiste e Shqipërisë,Albanian Socialist Party,1991,2001,56.2,1991,NA,NA,2013-01-01T18:17:23Z,2023-06-05T10:40:02Z,1715,1729,2019-05-27T13:22:39Z,ALB,dpi,19,PSS,NA,NA,1993,2015,52.8,1997,NA,NA,2018-07-11T13:15:32Z,2021-03-12T10:14:51Z,24608,2019-05-27T13:22:59Z
ARG,manifesto,150601,AR,Acción por la República,Action for the Republic,1999,1999,8.1,1999,NA,NA,2018-08-02T13:22:57Z,2023-06-05T10:39:45Z,25032,6112,2018-08-03T10:06:40Z,ARG,dpi,41,AR,NA,NA,2000,2003,7.6,1999,NA,NA,2018-09-06T11:47:12Z,2021-03-12T10:14:51Z,25585,2018-09-06T11:47:12Z
ARG,manifesto,150024,ACyS,Acuerdo Cívico y Social,Social and Civic Agreement,2009,2009,28.8,2009,NA,NA,2017-03-13T21:05:09Z,2023-06-05T10:39:54Z,18729,3889,2018-07-30T11:57:20Z,ARG,dpi,50,Frejuli,NA,"Front for Justice, Unity and Freedom",1990,1993,6.7,1989,NA,NA,2018-09-06T11:48:18Z,2021-03-12T10:14:51Z,25781,2018-10-06T21:56:03Z
ARG,manifesto,150032,ALIANZA,"Alianza pol el Trabajo, la Justiciay la Educación","Aliance for Work, Justice, and Education",1999,1999,43.8,1999,NA,NA,2018-08-02T13:23:09Z,2023-06-05T10:39:45Z,25076,6116,2018-08-03T12:21:00Z,ARG,dpi,43,ATJE,NA,"Alliance for Work, Justice and Education",2000,2003,43.6,1999,NA,NA,2018-07-11T13:15:36Z,2021-03-12T10:14:51Z,24646,2018-09-14T17:50:01Z
ARG,manifesto,150040,NA,Allianza de Centro,Center Alliance,1989,1989,9.6,1989,NA,NA,2018-08-02T13:23:00Z,2023-06-05T10:40:01Z,25049,3889,2018-08-03T12:10:55Z,ARG,dpi,50,Frejuli,NA,"Front for Justice, Unity and Freedom",1990,1993,6.7,1989,NA,NA,2018-09-06T11:48:18Z,2021-03-12T10:14:51Z,25781,2018-10-06T21:56:03Z
ARG,manifesto,150210,ARI,Alternativa para una República de Iguales,Alternative for a Republic of Equals,2003,2003,14.1,2003,NA,NA,2017-03-13T21:05:00Z,2023-06-05T10:39:57Z,18682,1215,2017-06-18T06:31:46Z,ARG,dpi,42,ARI,NA,Argentines for a Republic of Equals,2002,2007,8.9,2005,NA,NA,2018-07-11T13:15:32Z,2021-03-12T10:14:51Z,24609,2018-07-11T13:15:32Z
ARG,manifesto,150023,CC,Coalición Cívica,Civic Coalition,2007,2007,23.1,2007,NA,NA,2017-03-13T21:05:09Z,2023-06-05T10:39:51Z,18734,6159,2019-10-25T11:59:11Z,ARG,dpi,45,CC,NA,Civic Coalition,2008,2010,7.4,2009,NA,NA,2018-09-06T11:47:57Z,2021-03-12T10:14:51Z,25714,2018-09-10T21:25:15Z
ARG,manifesto,150028,NA,Concertación Justicialista para el Cambio,Justicialist Coalition for Change,1999,1999,35.9,1999,NA,NA,2018-08-02T13:22:58Z,2023-06-05T10:39:42Z,25035,3889,2018-08-03T12:14:27Z,ARG,dpi,50,Frejuli,NA,"Front for Justice, Unity and Freedom",1990,1993,6.7,1989,NA,NA,2018-09-06T11:48:18Z,2021-03-12T10:14:51Z,25781,2018-10-06T21:56:03Z
ARG,manifesto,150026,FAP,Frente Amplio Progressista,Broad Progressive Front,2011,2013,12.5,2011,NA,NA,2015-11-17T11:43:38Z,2023-06-05T10:39:51Z,15494,6161,2020-07-15T08:42:44Z,ARG,dpi,44,BPF,NA,Broad Progressive Front,2014,2015,5.4,2013,NA,NA,2018-09-06T11:48:17Z,2021-03-12T10:14:51Z,25780,2018-09-10T21:36:13Z
ARG,manifesto,150205,MP,Frente del Movimiento Popular,Front of the popular movement,2003,2003,14.1,2003,NA,NA,2017-03-13T21:05:00Z,2023-06-05T10:39:45Z,18686,3889,2018-07-30T11:39:54Z,ARG,dpi,50,Frejuli,NA,"Front for Justice, Unity and Freedom",1990,1993,6.7,1989,NA,NA,2018-09-06T11:48:18Z,2021-03-12T10:14:51Z,25781,2018-10-06T21:56:03Z
ARG,manifesto,150025,FpV,Frente de Todos,Everyone's Front,2003,2019,49.1,2011,NA,NA,2015-11-17T11:43:34Z,2023-06-05T10:39:57Z,15477,2530,2015-11-17T12:06:31Z,ARG,dpi,47,FPV,NA,Front for Victory,2006,2015,46.3,2007,NA,NA,2018-07-11T13:15:30Z,2021-03-12T10:14:51Z,24590,2018-07-11T13:15:30Z
ARG,manifesto,150029,FREJUPO,Frente Justicialista de Unidad Popular,Justicialist Party of Popular Unity,1989,1989,44.7,1989,NA,NA,2018-08-02T13:23:04Z,2023-06-05T10:39:44Z,25065,3889,2018-08-03T12:17:34Z,ARG,dpi,50,Frejuli,NA,"Front for Justice, Unity and Freedom",1990,1993,6.7,1989,NA,NA,2018-09-06T11:48:18Z,2021-03-12T10:14:51Z,25781,2018-10-06T21:56:03Z
